ID,Work Item Type,Title,Assigned To,State,Tags
"1,""Epic"",""Crear un Bot que funcione en Azure App Services"",""Luz Tellez <LuzJanneth@brotonsmartlife.onmicrosoft.com>"",""To Do"","
"2,""Issue"",""Azure DevOps"",,""Doing"","
"3,""Issue"",""Infraestructura"",,""To Do"","
"4,""Issue"",""Desarrollo"",,""To Do"","
"5,""Issue"",""Correccion Bugs"",,""To Do"","
"6,""Task"",""Azure Repos - Planificacion de tareas"",,""Done"","
"7,""Task"",""Azure Repos - Creacion de repositorio"",,""Done"","
"8,""Task"",""Azure Pipeline"",,""To Do"","
"9,""Task"",""Definicion de la integracion Continua"",,""To Do"","
"10,""Task"",""Definicion del Despliegue Continuo"",,""To Do"","
"11,""Task"",""Registro de la APP - Permisos"",,""To Do"","
"12,""Task"",""Actualizacion de la APP - Secretos"",,""To Do"","
"13,""Task"",""Creacion de App Services y App Services Plan"",,""To Do"","
"14,""Task"",""Codificacion"",,""To Do"","
"15,""Task"",""Generar el bot con el Yo Office"",,""To Do"","
"16,""Task"",""Pruebas - Asegurar que funciona en desarrollo y Teams (Ngrok)"",,""To Do"","
"17,""Task"",""Azure Pipeline"",,""To Do"","
"18,""Task"",""Relacion de la CI con la CD"",,""To Do"","
